METADATA|Referral|RequisitionNumber|CandidateNumber|ReferrerPersonNumber
MERGE|Referral|753|40810|100
MERGE|Referral|756|41809|687
MERGE|Referral|756|2791|687
MERGE|Referral|757|42809|677
MERGE|Referral|761|9798|323
MERGE|Referral|761|6804|353
MERGE|Referral|765|7803|99
MERGE|Referral|778|18797|924
MERGE|Referral|778|17797|682
MERGE|Referral|778|22801|46
MERGE|Referral|778|23797|681
MERGE|Referral|778|20797|659
MERGE|Referral|778|19797|3799
MERGE|Referral|778|24797|543
MERGE|Referral|778|22797|661
MERGE|Referral|778|23798|540
MERGE|Referral|778|21797|99
MERGE|Referral|778|22800|49
MERGE|Referral|778|20798|696
MERGE|Referral|778|22799|652
MERGE|Referral|778|19800|56
MERGE|Referral|778|46809|101
MERGE|Referral|778|19799|3799
MERGE|Referral|778|19798|3799
MERGE|Referral|778|22798|618
MERGE|Referral|781|25807|101
MERGE|Referral|781|27807|1707
MERGE|Referral|782|28832|2040
MERGE|Referral|782|28831|2988
MERGE|Referral|783|28829|2978
MERGE|Referral|783|28830|2985
MERGE|Referral|784|28833|1707
MERGE|Referral|788|31812|696
MERGE|Referral|788|31817|56
MERGE|Referral|788|31815|670
MERGE|Referral|788|31818|14
MERGE|Referral|788|31809|577
MERGE|Referral|788|31809|577
MERGE|Referral|788|31810|100
MERGE|Referral|788|31813|660
MERGE|Referral|788|31811|575
MERGE|Referral|788|31814|655
MERGE|Referral|789|32810|346
MERGE|Referral|789|32809|342
MERGE|Referral|789|32812|728
MERGE|Referral|789|32809|101
MERGE|Referral|789|32811|334
MERGE|Referral|790|32813|6
MERGE|Referral|790|32814|3798
MERGE|Referral|791|41810|687
MERGE|Referral|791|41811|655
MERGE|Referral|797|40809|4201
MERGE|Referral|797|43809|2856
MERGE|Referral|802|45813|1691
MERGE|Referral|802|45811|1684
MERGE|Referral|802|45815|542
MERGE|Referral|802|45810|1676
MERGE|Referral|802|45817|10
MERGE|Referral|802|45816|2528
MERGE|Referral|803|45813|1691
MERGE|Referral|803|45814|929
MERGE|Referral|803|45810|1676
MERGE|Referral|803|45812|286
MERGE|Referral|803|45809|1684
MERGE|Referral|819|56810|654
MERGE|Referral|886|92989|4688
MERGE|Referral|903|133891|114
MERGE|Referral|923|113913|4911
MERGE|Referral|923|192883|101
MERGE|Referral|923|115895|4064
